Episodes Time-Steps Steps-In-One-Episode
0 0 0
24 1 24
96 2 72
315 3 219
532 4 217
714 5 182
888 6 174
958 7 70
985 8 27
1005 9 20
1109 10 104
1135 11 26
1311 12 176
1367 13 56
1456 14 89
1506 15 50
1548 16 42
1634 17 86
1685 18 51
1709 19 24
1727 20 18
1790 21 63
1820 22 30
1981 23 161
2015 24 34
2078 25 63
2119 26 41
2199 27 80
2220 28 21
2344 29 124
2462 30 118
2560 31 98
2655 32 95
2713 33 58
2793 34 80
2851 35 58
2868 36 17
2879 37 11
2894 38 15
2987 39 93
3018 40 31
3075 41 57
3214 42 139
3265 43 51
3386 44 121
3442 45 56
3511 46 69
3534 47 23
3556 48 22
3589 49 33
3694 50 105
3737 51 43
3753 52 16
3806 53 53
3867 54 61
3965 55 98
3986 56 21
4044 57 58
4135 58 91
4161 59 26
4208 60 47
4228 61 20
4344 62 116
4363 63 19
4389 64 26
4442 65 53
4455 66 13
4486 67 31
4498 68 12
4519 69 21
4606 70 87
4633 71 27
4651 72 18
4679 73 28
4715 74 36
4749 75 34
4794 76 45
4814 77 20
4834 78 20
4869 79 35
4913 80 44
4980 81 67
5008 82 28
5073 83 65
5105 84 32
5177 85 72
5196 86 19
5314 87 118
5364 88 50
5418 89 54
5441 90 23
5559 91 118
5574 92 15
5647 93 73
5728 94 81
5746 95 18
5992 96 246
6008 97 16
6028 98 20
6079 99 51
6137 100 58
6154 101 17
6223 102 69
6242 103 19
6257 104 15
6273 105 16
6361 106 88
6372 107 11
6400 108 28
6423 109 23
6467 110 44
6500 111 33
6534 112 34
6567 113 33
6613 114 46
6657 115 44
6726 116 69
6747 117 21
6765 118 18
6815 119 50
6885 120 70
6989 121 104
7026 122 37
7068 123 42
7106 124 38
7133 125 27
7166 126 33
7177 127 11
7242 128 65
7265 129 23
7275 130 10
7288 131 13
7318 132 30
7342 133 24
7384 134 42
7477 135 93
7494 136 17
7565 137 71
7649 138 84
7682 139 33
7755 140 73
7774 141 19
7816 142 42
7841 143 25
7883 144 42
8054 145 171
8073 146 19
8227 147 154
8242 148 15
8289 149 47
8336 150 47
8408 151 72
8419 152 11
8451 153 32
8472 154 21
8516 155 44
8547 156 31
8586 157 39
8604 158 18
8633 159 29
8676 160 43
8699 161 23
8728 162 29
8741 163 13
8791 164 50
8875 165 84
8920 166 45
8976 167 56
9003 168 27
9050 169 47
9066 170 16
9116 171 50
9127 172 11
9177 173 50
9248 174 71
9274 175 26
9283 176 9
9400 177 117
9439 178 39
9468 179 29
9479 180 11
9553 181 74
9603 182 50
9627 183 24
9658 184 31
9756 185 98
9772 186 16
9828 187 56
9873 188 45
9893 189 20
9994 190 101
10033 191 39
10114 192 81
10156 193 42
10175 194 19
10188 195 13
10200 196 12
10215 197 15
10222 198 7
10232 199 10
10248 200 16
10263 201 15
10277 202 14
10287 203 10
10297 204 10
10312 205 15
10336 206 24
10349 207 13
10406 208 57
10437 209 31
10464 210 27
10476 211 12
10485 212 9
10495 213 10
10507 214 12
10516 215 9
10536 216 20
10551 217 15
10575 218 24
10606 219 31
10678 220 72
10698 221 20
10720 222 22
10765 223 45
10799 224 34
10818 225 19
10839 226 21
10899 227 60
10934 228 35
11079 229 145
11104 230 25
11116 231 12
11134 232 18
11148 233 14
11168 234 20
11207 235 39
11221 236 14
11229 237 8
11253 238 24
11263 239 10
11276 240 13
11301 241 25
11316 242 15
11333 243 17
11347 244 14
11358 245 11
11373 246 15
11390 247 17
11413 248 23
11432 249 19
11441 250 9
11454 251 13
11488 252 34
11502 253 14
11546 254 44
11681 255 135
11810 256 129
11821 257 11
11945 258 124
11985 259 40
12029 260 44
12066 261 37
12127 262 61
12144 263 17
12172 264 28
12188 265 16
12254 266 66
12275 267 21
12289 268 14
12342 269 53
12392 270 50
12437 271 45
12464 272 27
12551 273 87
12579 274 28
12615 275 36
12649 276 34
12673 277 24
12727 278 54
12782 279 55
12825 280 43
12897 281 72
13012 282 115
13093 283 81
13200 284 107
13249 285 49
13324 286 75
13410 287 86
13534 288 124
13574 289 40
13588 290 14
13750 291 162
13839 292 89
13856 293 17
13955 294 99
13996 295 41
14035 296 39
14085 297 50
14208 298 123
14233 299 25
14255 300 22
14300 301 45
14397 302 97
14499 303 102
14577 304 78
14625 305 48
