Episodes Time-Steps Steps-In-One-Episode
0 0 0
79 1 79
225 2 146
342 3 117
551 4 209
674 5 123
840 6 166
934 7 94
951 8 17
963 9 12
1120 10 157
1205 11 85
1241 12 36
1301 13 60
1322 14 21
1433 15 111
1527 16 94
1597 17 70
1625 18 28
1663 19 38
1760 20 97
1881 21 121
1916 22 35
1994 23 78
2107 24 113
2225 25 118
2274 26 49
2443 27 169
2491 28 48
2514 29 23
2614 30 100
2715 31 101
2798 32 83
2892 33 94
3128 34 236
3249 35 121
3264 36 15
3348 37 84
3369 38 21
3445 39 76
3533 40 88
3611 41 78
3685 42 74
3833 43 148
4007 44 174
4052 45 45
4091 46 39
4272 47 181
4451 48 179
4507 49 56
4701 50 194
4718 51 17
4815 52 97
4905 53 90
5004 54 99
5083 55 79
5104 56 21
5174 57 70
5224 58 50
5306 59 82
5411 60 105
5430 61 19
5457 62 27
5491 63 34
5518 64 27
5540 65 22
5562 66 22
5683 67 121
5722 68 39
5743 69 21
5769 70 26
5782 71 13
5851 72 69
5896 73 45
5941 74 45
5974 75 33
6021 76 47
6035 77 14
6058 78 23
6070 79 12
6123 80 53
6213 81 90
6229 82 16
6252 83 23
6265 84 13
6286 85 21
6324 86 38
6371 87 47
6389 88 18
6440 89 51
6503 90 63
6545 91 42
6577 92 32
6629 93 52
6672 94 43
6716 95 44
6808 96 92
6848 97 40
6861 98 13
6897 99 36
6935 100 38
6964 101 29
6996 102 32
7027 103 31
7061 104 34
7070 105 9
7084 106 14
7106 107 22
7156 108 50
7167 109 11
7204 110 37
7225 111 21
7250 112 25
7280 113 30
7328 114 48
7417 115 89
7433 116 16
7523 117 90
7546 118 23
7554 119 8
7595 120 41
7656 121 61
7724 122 68
7737 123 13
7785 124 48
7844 125 59
7898 126 54
7932 127 34
8033 128 101
8040 129 7
8069 130 29
8088 131 19
8101 132 13
8130 133 29
8158 134 28
8182 135 24
8298 136 116
8409 137 111
8475 138 66
8562 139 87
8592 140 30
8765 141 173
8851 142 86
9075 143 224
9100 144 25
9123 145 23
9218 146 95
9260 147 42
9304 148 44
9337 149 33
9366 150 29
9418 151 52
9431 152 13
9450 153 19
9486 154 36
9497 155 11
9526 156 29
9545 157 19
9612 158 67
9797 159 185
9822 160 25
9847 161 25
9916 162 69
9944 163 28
10020 164 76
10042 165 22
10116 166 74
10131 167 15
10148 168 17
10163 169 15
10182 170 19
10226 171 44
10244 172 18
10253 173 9
10273 174 20
10281 175 8
10433 176 152
10565 177 132
10590 178 25
10630 179 40
10720 180 90
10745 181 25
10757 182 12
10862 183 105
10879 184 17
10992 185 113
11038 186 46
11065 187 27
11082 188 17
11108 189 26
11128 190 20
11164 191 36
11208 192 44
11249 193 41
11276 194 27
11292 195 16
11356 196 64
11408 197 52
11421 198 13
11540 199 119
11607 200 67
